year,sequence,category,weather,track,air,humidity,ground
2018,9,MotoGP,Partly cloudy,Dry,27,48,48
2018,10,MotoGP,Cloudy,Dry,28,44,41
2018,11,MotoGP,Partly cloudy,Dry,27,41,43
2018,13,MotoGP,Partly cloudy,Dry,27,57,41
2018,14,MotoGP,Clear,Dry,30,36,45
2018,15,MotoGP,Clear,Dry,32,46,49
2018,16,MotoGP,Clear,Dry,23,34,35
2018,17,MotoGP,Partly cloudy,Dry,13,55,32
2018,18,MotoGP,Partly cloudy,Dry,34,55,53
2018,19,MotoGP,Cloudy,Wet,13,98,13
2019,1,MotoGP,Clear,Dry,18,52,19
2019,2,MotoGP,Partly cloudy,Dry,27,75,41
2019,3,MotoGP,Partly cloudy,Dry,21,32,39
2019,4,MotoGP,Clear,Dry,21,61,42
2019,5,MotoGP,Cloudy,Dry,15,79,19
2019,6,MotoGP,Partly cloudy,Dry,29,33,49
2019,7,MotoGP,Clear,Dry,26,47,51
2019,8,MotoGP,Partly cloudy,Dry,25,55,44
2019,9,MotoGP,Partly cloudy,Dry,20,44,32
2019,10,MotoGP,Partly cloudy,Wet,23,43,28
2019,11,MotoGP,Partly cloudy,Dry,23,70,32
2019,12,MotoGP,Partly cloudy,Dry,31,27,44
2019,13,MotoGP,Partly cloudy,Dry,26,54,39
2019,14,MotoGP,Partly cloudy,Dry,27,46,32
2019,15,MotoGP,Partly cloudy,Dry,31,58,48
2019,16,MotoGP,Partly cloudy,Dry,21,76,27
2019,17,MotoGP,Partly cloudy,Dry,16,63,30
2019,18,MotoGP,Partly cloudy,Dry,32,60,44
2019,19,MotoGP,Partly cloudy,Dry,15,44,16
2020,2,MotoGP,Clear,Dry,32,41,53
2020,3,MotoGP,Clear,Dry,36,29,59
2020,4,MotoGP,Clear,Dry,30,38,46
2020,5,MotoGP,Partly cloudy,Dry,28,41,50
2020,6,MotoGP,Cloudy,Dry,22,60,35
2020,7,MotoGP,Clear,Dry,29,54,42
2020,8,MotoGP,Partly cloudy,Dry,28,52,40
2020,9,MotoGP,Cloudy,Dry,17,38,20
2020,10,MotoGP,Light rain,Wet,12,82,14
2020,11,MotoGP,Clear,Dry,21,34,31
2020,12,MotoGP,Clear,Dry,20,41,27
2020,13,MotoGP,Partly cloudy,Dry,22,50,25
2020,14,MotoGP,Partly cloudy,Dry,22,54,27
2020,15,MotoGP,Clear,Dry,22,46,28
2021,1,MotoGP,Clear,Dry,20,60,22
2021,2,MotoGP,Clear,Dry,21,62,22
2021,3,MotoGP,Clear,Dry,25,30,41
2021,4,MotoGP,Clear,Dry,22,36,41
2021,5,MotoGP,Partly cloudy,Dry,17,63,31
2021,6,MotoGP,Clear,Dry,23,30,42
2021,7,MotoGP,Partly cloudy,Dry,25,54,41
2021,8,MotoGP,Cloudy,Dry,28,51,39
2021,9,MotoGP,Partly cloudy,Dry,24,68,34
2021,10,MotoGP,Cloudy,Dry,19,67,19
2021,11,MotoGP,Partly cloudy,Dry,31,44,41
2021,12,MotoGP,Cloudy,Dry,17,66,24
2021,13,MotoGP,Clear,Dry,30,40,48
2021,14,MotoGP,Cloudy,Dry,26,52,29
2021,15,MotoGP,Partly cloudy,Dry,32,46,41
2021,16,MotoGP,Partly cloudy,Dry,18,55,23
